param_classifier__max_depth,param_classifier__max_features,param_classifier__min_samples_leaf,param_classifier__n_estimators,mean_test_score,std_test_score,rank_test_score
9,log2,15,156,0.0,0.0,1
10,sqrt,7,171,0.0,0.0,1
21,sqrt,11,137,0.0,0.0,1
23,log2,8,201,0.0,0.0,1
5,log2,2,393,0.0,0.0,1
14,log2,6,435,0.0,0.0,1
23,sqrt,12,363,0.0,0.0,1
24,sqrt,12,394,0.0,0.0,1
19,sqrt,10,237,0.0,0.0,1
18,sqrt,15,495,0.0,0.0,1
21,log2,3,356,0.0,0.0,1
9,sqrt,9,216,0.0,0.0,1
20,log2,14,291,0.0,0.0,1
28,sqrt,2,389,0.0,0.0,1
17,log2,7,477,0.0,0.0,1
10,sqrt,3,255,0.0,0.0,1
19,log2,18,409,0.0,0.0,1
6,log2,6,103,0.0,0.0,1
12,log2,18,267,0.0,0.0,1
14,log2,10,495,0.0,0.0,1
6,log2,16,320,0.0,0.0,1
10,log2,8,262,0.0,0.0,1
18,sqrt,18,416,0.0,0.0,1
23,log2,13,90,0.0,0.0,1
17,sqrt,1,394,0.0,0.0,1
9,sqrt,1,185,0.0,0.0,1
26,sqrt,11,130,0.0,0.0,1
10,sqrt,3,338,0.0,0.0,1
29,sqrt,10,280,0.0,0.0,1
28,sqrt,7,250,0.0,0.0,1
